	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
107	1918.11.09_съезд советов.съезд советов 6_постановление_о строительстве советской власти в центре комитетах бедноты и советах на местах	1918.11.09	['съезд советов', 'съезд советов 6']	['постановление']	['о строительстве советской власти в центре комитетах бедноты и советах на местах']	['о строительстве советской власти в центре комитетах бедноты и советах на местах']	True	False	True	False	True	False
108	1918.12.10_ленин.снк_декрет_о мобилизации грамотных и организации пропаганды советского строя_пропаганда	1918.12.10	['ленин', 'снк']	['декрет']	['о мобилизации грамотных и организации пропаганды советского строя']	['пропаганда']	True	True	True	False	False	True
109	1918.12.19_ленин.снк_декрет_о запрещении устройства лотерей	1918.12.19	['ленин', 'снк']	['декрет']	['о запрещении устройства лотерей']	['о запрещении устройства лотерей']	True	True	True	False	False	False
110	1919.01.04_ленин.снк_постановление_об учреждении совета защиты детей	1919.01.04	['ленин', 'снк']	['постановление']	['об учреждении совета защиты детей']	['об учреждении совета защиты детей']	True	True	True	False	True	False
111	1919.03.18_ленин_выступление.отчет.фрагмент_отчет цк_съезд ркпб 8	1919.03.18	['ленин']	['выступление', 'отчет', 'фрагмент']	['отчет цк']	['съезд ркпб 8']	False	True	False	False	True	True
112	1919.03.18_ленин_выступление.фрагмент_о деятельности федерации иностранных групп_съезд ркпб 8	1919.03.18	['ленин']	['выступление', 'фрагмент']	['о деятельности федерации иностранных групп']	['съезд ркпб 8']	False	True	False	False	True	True
113	1919.03.18_цк ркпб.съезд ркпб 8.бюро мусульманских организаций_отчет.доклад_отчет бюро мусульманских организаций	1919.03.18	['цк ркпб', 'съезд ркпб 8', 'бюро мусульманских организаций']	['отчет', 'доклад']	['отчет бюро мусульманских организаций']	['отчет бюро мусульманских организаций']	True	False	False	False	False	False
114	1919.03.20_съезд ркпб 8_приветствие_приветствие красной армии	1919.03.20	['съезд ркпб 8']	['приветствие']	['приветствие красной армии']	['приветствие красной армии']	True	False	False	True	False	False
115	1919.06.01_вцик_постановление_постановление о военном союзе россии украины латвии литвы украины_образование ссср	1919.06.01	['вцик']	['постановление']	['постановление о военном союзе россии украины латвии литвы украины']	['образование ссср']	True	False	True	False	False	True
116	1920.09.22_ленин_выступление.отчет_политический отчет цк_съезд ркпб 9	1920.09.22	['ленин']	['выступление', 'отчет']	['политический отчет цк']	['съезд ркпб 9']	False	True	False	False	True	True
